	Aca_Eriop_Aceria_parapopu	Aca_Eryth_1_1	Ara_Arane_Metapeir_1	Ara_Arane_1_1	Ara_Clubi_Chiracan_1	Ara_Clubi_1_1	Ara_Clubi_1_3	Ara_Dicty_Dictyna_1	Ara_Lycos_1_1	Ara_Philo_Philodro_1	Ara_Salti_Bredana_1	Ara_Salti_Metacyrb_1	Ara_Salti_Metaphid_1	Ara_Salti_Metaphid_2	Ara_Salti_Paradamo_1	Ara_Salti_Talavera_1	Ara_Salti_1_5	Ara_Salti_1_7	Ara_Salti_1_8	Ara_Salti_1_9	Ara_Salti_1_10	Ara_Theri_1_1	Ara_Theri_1_2	Ara_Thomi_Misumeno_1	Ara_Thomi_Misumeno_2	Ara_Thomi_1_1	Ara_Thomi_1_2	Ara_Thomi_1_3	Col_Anthi_1_1	Col_Bupre_1_1	Col_Chrys_Chrysome_confluen	Col_Chrys_1_3	Col_Cicin_1_1	Col_Cocci_Adalia_bipuncta	Col_Cocci_Coccinel_septum	Col_Cocci_Cryptola_1	Col_Cocci_Harmonia_axyridis	Col_Cocci_Hippodam_converge	Col_Cocci_Scymnus_1	Col_Cocci_1_1	Col_Cocci_1_2	Col_Curcu_Microtyp_2	Col_Curcu_1_1	Col_Curcu_1_4	Col_Lampy_1_1	Col_Melyr_1_1	Col_Melyr_1_2	Col_Melyr_1_3	Col_Melyr_1_4	Col_Morde_1_1	Col_Scara_1_1	Col_Silph_1_1	Der_Forfi_1_1	Dip_Agrom_Hexomyza_schineri	Dip_Agrom_1_1	Dip_Bibio_1_1	Dip_Bomby_1_1	Dip_Calli_1_1	Dip_Cerat_1_1	Dip_Chiro_1_1	Dip_Chlor_1_1	Dip_Empid_1_1	Dip_Musci_1_1	Dip_Musci_1_2	Dip_Ottit_1_1	Dip_Phori_1_1	Dip_Syrph_1_4	Dip_Tachy_1_1	Dip_There_1_1	Hem_Antho_Anthocor_antevole	Hem_Aphid_Chaitoph_populico	Hem_Aphid_Chaitoph_popullel	Hem_Aphid_Pemphigu_betae	Hem_Aphid_Pemphigu_populica	Hem_Aphid_Pemphigu_populigl	Hem_Aphid_Pemphigu_populitr	Hem_Aphid_Thecabiu_populico	Hem_Aphid_Thecabiu_populimo	Hem_Cerco_1_1	Hem_Cicad_Gypona_1	Hem_Cicad_1_2	Hem_Cicad_1_3	Hem_Cicad_1_4	Hem_Cicad_1_5	Hem_Cicad_1_6	Hem_Cicad_1_7	Hem_Cicad_1_8	Hem_Cicad_1_11	Hem_Cicad_1_12	Hem_Cicad_1_13	Hem_Cicad_1_14	Hem_Cixii_1_1	Hem_Diasp_Lepidosa_ulmi	Hem_Lygae_1_2	Hem_Membr_1_1	Hem_Mirid_Ceratoca_1	Hem_Mirid_1_1	Hem_Mirid_1_2	Hem_Mirid_1_3	Hem_Mirid_1_4	Hem_Mirid_1_5	Hem_Mirid_1_6	Hem_Nabid_1_1	Hem_Penta_Apatetic_1	Hem_Penta_Brochyme_1	Hem_Penta_Euschist_1	Hem_Penta_Podisus_1	Hem_Penta_Thyanta_1	Hem_Reduv_Phymata_1	Hem_Rhopa_Leptocor_trivitta	Hem_Tingi_1_1	Hym_Andre_1_1	Hym_Apida_1_1	Hym_Braco_1_2	Hym_Braco_1_3	Hym_Braco_1_4	Hym_Encyr_1_1	Hym_Eulop_1_1	Hym_Eupel_1_2	Hym_Formi_Camponot_1	Hym_Formi_Formica_1	Hym_Formi_Formica_propinqu	Hym_Formi_Tetramor_caespitu	Hym_Halic_1_1	Hym_Ichne_1_2	Hym_Ichne_1_4	Hym_Mymar_1_1	Hym_Ptero_1_1	Hym_Tenth_Nematus_1	Hym_Tenth_Phylloco_1	Lep_Gelec_Anacamps_niveopul	Lep_Geome_Alsophil_pometari	Lep_Geome_1_1	Lep_Graci_Phyllocn_1	Lep_Lyone_Paraleuc_albella	Lep_Noctu_1_1	Lep_Tortr_Gypsonom_haimbach	Lep_Tortr_1_4	Lep_Tortr_1_5	Lep_Tortr_1_6	Lep_1_1_1	Neu_Chrys_Argia_5	Neu_Raphi_1_1	Odo_Coena_1_1	Ort_Acrid_Melanopl_sanguini	Ort_Gryll_Oecanthu_1	Ort_Tetti_1_1	Thy_Aeolo_1_1	Thy_Thrip_1_1	Thy_1_1_2
fr1_00	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	31	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
fr2_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	17	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
fr3_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	8	1	5	1	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	29	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
fr4_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	5	0	4	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	33	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
fr5_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
fr6_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18	24	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
fr7_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fr8_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	27	30	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1
fr9_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	4	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	4	0	12	0	1	3	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	18	0	1	2	0	0	0	12	0	0	0	0	0	0	0	4
fr10_00	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	12	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	23	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
